analysis_id,224xmb65hi757my
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
mouse_strain,C57BL
parameter_name,Shape of vertebrae
gene_symbol,Ahctf1
pvalue,0.537606
parameter_id,IMPC_XRY_018_001
