parameter_name,Total protein
pvalue,0.46352
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
analysis_id,09r74z5vv4wb1mt
mouse_strain,C57BL
gene_accession_id,MGI:107414
parameter_id,IMPC_CBC_006_001
