parameter_id,IMPC_HWT_008_001
gene_symbol,Alkbh3
pvalue,0.332506
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
analysis_id,35n95tjy4c15xb6
mouse_strain,C57BL
parameter_name,Heart weight
