gene_symbol,Bcs1l
parameter_id,IMPC_XRY_065_001
analysis_id,9ei3qg176vt0366
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
pvalue,0.7817087
parameter_name,Lumbar processes
