gene_symbol,Exd1
analysis_id,jj596664xha4dwq
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
pvalue,0.4486905
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:3045306
