parameter_name,Alkaline phosphatase
gene_symbol,Fpgs
gene_accession_id,MGI:95576
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
analysis_id,558677g4youz430
pvalue,0.431081
mouse_life_stage,Early adult
