analysis_id,2346540z51mt9gw
gene_symbol,Arnt
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.2249829
parameter_id,IMPC_CBC_005_001
