parameter_name,Center resting time
gene_symbol,Hrnr
parameter_id,JAX_OFD_015_001
gene_accession_id,MGI:3046938
analysis_id,s650qh91vps5zdm
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4621985
