pvalue,0.6263339
mouse_strain,C57BL
parameter_id,ESLIM_005_001_005
gene_symbol,Secisbp2l
analysis_id,d86gt742fip9286
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_name,Bone Mineral Content
