parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1913405
mouse_strain,C57BL
pvalue,0.5467861
analysis_id,y2483s12249h2k9
parameter_name,Head morphology
gene_symbol,Ufc1
mouse_life_stage,Early adult
