analysis_id,3k73e947713s68s
mouse_life_stage,Early adult
parameter_name,Limb morphology
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
pvalue,0.5173583
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
