parameter_name,RR
parameter_id,IMPC_ECG_004_001
gene_symbol,Rap2b
mouse_strain,C57BL
analysis_id,6tdht483hp296nz
pvalue,0.05556068
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
