analysis_id,7327j25eva10xah
mouse_strain,C57BL
gene_symbol,Ola1
parameter_id,IMPC_HEM_038_001
pvalue,0.1968977
parameter_name,Basophil differential count
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
