analysis_id,5s5051b8pepeyv4
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
pvalue,0.09410138
mouse_strain,C57BL
gene_symbol,Hpca
