analysis_id,j6wzy38t4607m6q
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1915848
pvalue,0.8075918
mouse_life_stage,Early adult
gene_symbol,Dnajc8
mouse_strain,C57BL
