analysis_id,y5723292wp71736
gene_symbol,Dnajc6
pvalue,0.110721
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1919935
parameter_name,Total food intake
mouse_strain,C57BL
