analysis_id,u60h4061736q450
mouse_life_stage,Early adult
gene_symbol,Snrpb2
parameter_name,Red blood cell count
mouse_strain,C57BL
pvalue,0.5249522
gene_accession_id,MGI:104805
parameter_id,IMPC_HEM_002_001
