parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
pvalue,0.8045601
gene_symbol,Rab13
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
analysis_id,x5uuye3f0gwn36a
gene_accession_id,MGI:1927232
