parameter_name,Placenta Size
mouse_life_stage,Early adult
analysis_id,25o61it458x5q23
pvalue,0.2127819
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
