parameter_name,DN CD25- NKT cells
analysis_id,96l20ad0zwzn6ra
pvalue,0.6007097
gene_symbol,Steap3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915678
parameter_id,IMPC_IMM_025_001
