parameter_id,MGP_IMM_070_001
gene_symbol,Mapkap1
parameter_name,Total ab T cells - % of CD45+
analysis_id,032fty33dj931m5
pvalue,0.5995873
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:2444554
