gene_symbol,Zcchc2
pvalue,0.4087017
gene_accession_id,MGI:2444114
analysis_id,63f3m2j0q226v3l
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
