pvalue,1.413671e-05
gene_symbol,Kdm4c
parameter_name,Coat colouration
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:1924054
analysis_id,1em931136b1sw8g
mouse_strain,C57BL
