analysis_id,84wy46us03510v7
gene_symbol,Eprs1
parameter_id,MGP_MLN_063_001
pvalue,0.0785898
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E9.5
