parameter_id,CCP_XRY_001_001
pvalue,0.6752692
parameter_name,Skull shape
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
mouse_strain,C57BL
analysis_id,3y0k60w80qmnv4r
gene_symbol,Rab17
