analysis_id,j142c4ujuidn13x
pvalue,0.8421944
mouse_strain,C57BL
gene_symbol,Zmynd19
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
