parameter_name,DN NKT cells
gene_accession_id,MGI:88174
parameter_id,IMPC_IMM_013_001
gene_symbol,Bmi1
pvalue,0.8249534
analysis_id,k6740qyu4yh191z
mouse_strain,C57BL
mouse_life_stage,Early adult
