parameter_name,Joints
parameter_id,IMPC_XRY_027_001
mouse_life_stage,E9.5
pvalue,0.9000716
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,s4amkvh0rm960it
