parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
pvalue,0.1114877
analysis_id,wk91k2t00a24wv4
mouse_life_stage,Early adult
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
mouse_strain,C57BL
