parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
pvalue,0.3928549
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
analysis_id,5sw6ii0ld3s1r52
