gene_symbol,Ahcy
pvalue,0.3693317
gene_accession_id,MGI:87968
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
parameter_name,Startle response
mouse_life_stage,E12.5
analysis_id,ta4l8li3h2r6nu1
