parameter_id,JAX_LDT_008_001
gene_symbol,Tubb4b
mouse_strain,C57BL
analysis_id,gf5o3g95oa326cr
gene_accession_id,MGI:1915472
pvalue,0.317487
mouse_life_stage,Early adult
parameter_name,Percent time in dark
