parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
pvalue,0.2387167
parameter_name,Sacral processes
mouse_life_stage,Early adult
gene_symbol,Clvs1
analysis_id,0z95r97l85ut70i
gene_accession_id,MGI:1921688
