parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
pvalue,0.8143062
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Response amplitude - S
analysis_id,o12i2fah47c78kt
mouse_life_stage,Early adult
