gene_symbol,Etfdh
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ei437h4tt698z3y
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.6219536
gene_accession_id,MGI:106100
parameter_id,IMPC_DXA_004_001
