parameter_id,HMGULA_GRS_008_001
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
analysis_id,gt9t9g4vd8lqki7
gene_symbol,Rgs20
pvalue,0.688747
mouse_strain,C57BL
