analysis_id,o7l7j2t7r2k0tr9
parameter_name,Alpha beta T cell percentage
mouse_strain,C57BL
gene_symbol,Dhdds
parameter_id,MGP_PBI_002_001
gene_accession_id,MGI:1914672
pvalue,0.3037937
mouse_life_stage,Early adult
