parameter_id,TCPLA_GRS_011_001
analysis_id,e65lv3512134n44
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.5041561
mouse_strain,C57BL
mouse_life_stage,Early adult
