parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
pvalue,0.1076538
mouse_life_stage,Early adult
analysis_id,5y9eh7so98l1u10
mouse_strain,129SV
