parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.4360475
gene_accession_id,MGI:1916222
analysis_id,2pbh90csc9ig8i3
parameter_name,Tibia length
gene_symbol,Tatdn3
mouse_life_stage,Early adult
