analysis_id,49e145yq0278r04
gene_symbol,Slc30a4
parameter_name,Limb grasping
mouse_strain,C57BL
Pvalue,0.971698
Gene_accession_id,MGI:1345282
parameter_id,ESLIM_008_001_017
Mouse_life_stage,Early adult
