parameter_name,Respiration Rate
pvalue,0.7618149
parameter_id,IMPC_ECH_018_001
analysis_id,nmox6d19pt3399c
mouse_life_stage,Early adult
gene_symbol,Golm2
mouse_strain,C57BL
gene_accession_id,MGI:2443129
