gene_symbol,Steap3
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.3086518
parameter_name,Ly6Clow monocyte number
analysis_id,65f2e60971a4b42
mouse_strain,C57BL
