analysis_id,20y488h719obt36
pvalue,0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:894679
parameter_id,MGP_PBI_030_001
