analysis_id,c6ev7q3vlj19274
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Atf3
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
pvalue,0.9315554
gene_accession_id,MGI:109384
