analysis_id,7r9somrl8r872y9
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
pvalue,0.5970069
gene_symbol,Kif24
parameter_name,Number of rears - total
