analysis_id,7vdh829xrazd3vi
parameter_name,Pericardium Morphology
mouse_strain,C57BL
pvalue,0.4102845
parameter_id,IMPC_GEL_006_001
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
