parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
analysis_id,79gdg3854e5nbs8
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1920344
pvalue,0.1872249
mouse_life_stage,Early adult
gene_symbol,Sgip1
