analysis_id,899a747q8do8m17
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,Chloride
mouse_strain,C57BL
pvalue,0.8222237
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
