gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.1650733
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
parameter_name,Latency to center entry
gene_accession_id,MGI:1913483
analysis_id,a223jo0cxkc70w6
