parameter_name,White blood cell-count
analysis_id,715dc66q10lu3iu
parameter_id,M-G-P_016_001_001
gene_symbol,F2
mouse_strain,C57BL
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,1.021492
