parameter_name,Periphery - Permanence Time
pvalue,0.3069586
gene_accession_id,MGI:1338032
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
analysis_id,1y9q51243x01z72
mouse_life_stage,Early adult
gene_symbol,Sema6c
