analysis_id,2wzxqlyy93q17f6
pvalue,0.9326635
parameter_name,White blood cell-count
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_id,M-G-P_016_001_001
