parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
pvalue,0.5125299
mouse_strain,C57BL
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
analysis_id,7834h05xig56074
gene_symbol,F2
