parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
analysis_id,dgnw4ke95m12dk6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913405
pvalue,0.2426293
gene_symbol,Ufc1
