parameter_name,Periphery distance travelled
pvalue,0.5441893
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,IMPC_OFD_010_001
mouse_strain,C57BL
analysis_id,3s9gi0il382ikd2
