gene_symbol,Fpgs
parameter_id,JAX_OFD_014_001
pvalue,0.2952133
parameter_name,Center distance travelled
mouse_strain,C57BL
gene_accession_id,MGI:95576
analysis_id,uye15j384i9r4kn
mouse_life_stage,Early adult
