parameter_name,Femur
analysis_id,1d5155nexrqn4hs
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
gene_symbol,Fgb
gene_accession_id,MGI:99501
pvalue,0.5937986
mouse_life_stage,E12.5
