analysis_id,r04bsj694302wjd
parameter_name,Periphery average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3045306
pvalue,0.7383429
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Exd1
