parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
pvalue,0.5303197
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
analysis_id,9z387u985uk8o50
mouse_life_stage,Early adult
