gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
pvalue,0.2926794
analysis_id,o39xz08r5kpk8lc
mouse_strain,C57BL
mouse_life_stage,Early adult
