gene_symbol,Ntmt2
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
pvalue,0.9445507
gene_accession_id,MGI:2685053
mouse_strain,C57BL
analysis_id,4qcjzu07e0bj1og
parameter_name,Lean mass
