parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.7473843
analysis_id,u1x783f0t4f8b6v
gene_symbol,Bcs1l
