gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_life_stage,Early adult
parameter_name,Liver weight
analysis_id,46ja92r092o14hu
mouse_strain,C57BL
pvalue,0.6784413
parameter_id,UCD_OWT_008_001
